name,x,y,z
root,16.265219,-4.609943,13.5726
neck,-0.176427,-23.244212,1.8099
shoulder.l,-18.576475,-28.780771,1.9618
elbow.l,-24.571476,-47.410605,-11.0255
wrist.l,-34.347354,-54.204803,-25.6058
shoulder.r,12.473954,-31.081368,-24.3176
elbow.r,-3.879078,-56.696983,3.1196
wrist.r,-35.176847,-55.600438,18.0226
headTop,-9.858331,-34.373162,-18.3804
hip.l,2.269497,5.470165,18.4882
knee.l,1.411301,46.839068,-12.7148
ankle.l,-6.542257,65.402687,-58.8862
foot.l,-12.594060,71.044369,-67.8320
hip.r,27.627604,-0.854976,21.9174
knee.r,24.528200,40.730083,57.8141
ankle.r,41.245713,53.176400,37.4159
foot.r,19.900817,54.194490,44.6402
