comment : Fix one factor at a time to see the effect
date : 10.01
name : FixFactor
tasktype: MocapTask
outputFolder : /q/cache/fixFactorPose
rowId,backgroundId,frameId,clothId,mode
0,229,0,0,ipjd
1,1130,0,1,ipjd
2,721,0,2,ipjd
3,147,0,3,ipjd
4,136,0,4,ipjd
5,911,1,0,ipjd
6,1166,1,1,ipjd
7,96,1,2,ipjd
8,421,1,3,ipjd
9,377,1,4,ipjd
10,1172,2,0,ipjd
11,792,2,1,ipjd
12,732,2,2,ipjd
13,1032,2,3,ipjd
14,724,2,4,ipjd
15,732,3,0,ipjd
16,722,3,1,ipjd
17,849,3,2,ipjd
18,312,3,3,ipjd
19,191,3,4,ipjd
20,189,4,0,ipjd
21,766,4,1,ipjd
22,746,4,2,ipjd
23,756,4,3,ipjd
24,211,4,4,ipjd
25,295,5,0,ipjd
26,118,5,1,ipjd
27,1066,5,2,ipjd
28,125,5,3,ipjd
29,831,5,4,ipjd
30,750,6,0,ipjd
31,222,6,1,ipjd
32,584,6,2,ipjd
33,998,6,3,ipjd
34,1072,6,4,ipjd
35,1126,7,0,ipjd
36,1151,7,1,ipjd
37,702,7,2,ipjd
38,607,7,3,ipjd
39,900,7,4,ipjd
40,165,8,0,ipjd
41,996,8,1,ipjd
42,1051,8,2,ipjd
43,1155,8,3,ipjd
44,380,8,4,ipjd
45,254,9,0,ipjd
46,547,9,1,ipjd
47,542,9,2,ipjd
48,857,9,3,ipjd
49,1197,9,4,ipjd
50,672,10,0,ipjd
51,342,10,1,ipjd
52,155,10,2,ipjd
53,317,10,3,ipjd
54,658,10,4,ipjd
55,315,11,0,ipjd
56,966,11,1,ipjd
57,970,11,2,ipjd
58,712,11,3,ipjd
59,662,11,4,ipjd
60,583,12,0,ipjd
61,299,12,1,ipjd
62,434,12,2,ipjd
63,717,12,3,ipjd
64,408,12,4,ipjd
65,281,13,0,ipjd
66,869,13,1,ipjd
67,663,13,2,ipjd
68,113,13,3,ipjd
69,818,13,4,ipjd
70,410,14,0,ipjd
71,489,14,1,ipjd
72,215,14,2,ipjd
73,500,14,3,ipjd
74,687,14,4,ipjd
75,575,15,0,ipjd
76,984,15,1,ipjd
77,34,15,2,ipjd
78,860,15,3,ipjd
79,970,15,4,ipjd
80,417,16,0,ipjd
81,459,16,1,ipjd
82,1165,16,2,ipjd
83,513,16,3,ipjd
84,89,16,4,ipjd
85,97,17,0,ipjd
86,576,17,1,ipjd
87,454,17,2,ipjd
88,855,17,3,ipjd
89,982,17,4,ipjd
90,704,18,0,ipjd
91,550,18,1,ipjd
92,369,18,2,ipjd
93,341,18,3,ipjd
94,329,18,4,ipjd
95,966,19,0,ipjd
96,615,19,1,ipjd
97,475,19,2,ipjd
98,894,19,3,ipjd
99,587,19,4,ipjd
100,1022,20,0,ipjd
101,155,20,1,ipjd
102,247,20,2,ipjd
103,310,20,3,ipjd
104,1146,20,4,ipjd
105,463,21,0,ipjd
106,1024,21,1,ipjd
107,377,21,2,ipjd
108,583,21,3,ipjd
109,261,21,4,ipjd
110,857,22,0,ipjd
111,58,22,1,ipjd
112,347,22,2,ipjd
113,1208,22,3,ipjd
114,30,22,4,ipjd
115,1003,23,0,ipjd
116,198,23,1,ipjd
117,312,23,2,ipjd
118,428,23,3,ipjd
119,1205,23,4,ipjd
120,154,24,0,ipjd
121,958,24,1,ipjd
122,857,24,2,ipjd
123,1044,24,3,ipjd
124,1157,24,4,ipjd
125,600,25,0,ipjd
126,1108,25,1,ipjd
127,29,25,2,ipjd
128,677,25,3,ipjd
129,31,25,4,ipjd
130,996,26,0,ipjd
131,207,26,1,ipjd
132,591,26,2,ipjd
133,675,26,3,ipjd
134,1162,26,4,ipjd
135,376,27,0,ipjd
136,375,27,1,ipjd
137,682,27,2,ipjd
138,1030,27,3,ipjd
139,346,27,4,ipjd
140,59,28,0,ipjd
141,845,28,1,ipjd
142,466,28,2,ipjd
143,824,28,3,ipjd
144,695,28,4,ipjd
145,1205,29,0,ipjd
146,321,29,1,ipjd
147,319,29,2,ipjd
148,87,29,3,ipjd
149,104,29,4,ipjd
150,626,30,0,ipjd
151,1050,30,1,ipjd
152,1045,30,2,ipjd
153,917,30,3,ipjd
154,401,30,4,ipjd
155,724,31,0,ipjd
156,1188,31,1,ipjd
157,618,31,2,ipjd
158,317,31,3,ipjd
159,870,31,4,ipjd
160,283,32,0,ipjd
161,144,32,1,ipjd
162,1107,32,2,ipjd
163,527,32,3,ipjd
164,82,32,4,ipjd
165,962,33,0,ipjd
166,1157,33,1,ipjd
167,206,33,2,ipjd
168,1178,33,3,ipjd
169,622,33,4,ipjd
170,943,34,0,ipjd
171,1005,34,1,ipjd
172,709,34,2,ipjd
173,446,34,3,ipjd
174,28,34,4,ipjd
175,530,35,0,ipjd
176,719,35,1,ipjd
177,754,35,2,ipjd
178,294,35,3,ipjd
179,394,35,4,ipjd
180,295,36,0,ipjd
181,478,36,1,ipjd
182,606,36,2,ipjd
183,1166,36,3,ipjd
184,102,36,4,ipjd
185,765,37,0,ipjd
186,451,37,1,ipjd
187,898,37,2,ipjd
188,389,37,3,ipjd
189,396,37,4,ipjd
190,581,38,0,ipjd
191,474,38,1,ipjd
192,519,38,2,ipjd
193,711,38,3,ipjd
194,632,38,4,ipjd
195,1201,39,0,ipjd
196,518,39,1,ipjd
197,598,39,2,ipjd
198,1132,39,3,ipjd
199,325,39,4,ipjd
200,419,40,0,ipjd
201,905,40,1,ipjd
202,1030,40,2,ipjd
203,796,40,3,ipjd
204,594,40,4,ipjd
205,836,41,0,ipjd
206,423,41,1,ipjd
207,694,41,2,ipjd
208,245,41,3,ipjd
209,979,41,4,ipjd
210,487,42,0,ipjd
211,1114,42,1,ipjd
212,665,42,2,ipjd
213,1033,42,3,ipjd
214,590,42,4,ipjd
215,804,43,0,ipjd
216,1192,43,1,ipjd
217,1094,43,2,ipjd
218,463,43,3,ipjd
219,871,43,4,ipjd
220,191,44,0,ipjd
221,909,44,1,ipjd
222,1145,44,2,ipjd
223,879,44,3,ipjd
224,1059,44,4,ipjd
225,302,45,0,ipjd
226,136,45,1,ipjd
227,1192,45,2,ipjd
228,578,45,3,ipjd
229,287,45,4,ipjd
230,1045,46,0,ipjd
231,514,46,1,ipjd
232,1054,46,2,ipjd
233,371,46,3,ipjd
234,814,46,4,ipjd
235,57,47,0,ipjd
236,900,47,1,ipjd
237,707,47,2,ipjd
238,1090,47,3,ipjd
239,202,47,4,ipjd
240,705,48,0,ipjd
241,657,48,1,ipjd
242,671,48,2,ipjd
243,911,48,3,ipjd
244,674,48,4,ipjd
245,520,49,0,ipjd
246,95,49,1,ipjd
247,1201,49,2,ipjd
248,774,49,3,ipjd
249,840,49,4,ipjd
250,17,50,0,ipjd
251,755,50,1,ipjd
252,996,50,2,ipjd
253,752,50,3,ipjd
254,1171,50,4,ipjd
255,354,51,0,ipjd
256,526,51,1,ipjd
257,206,51,2,ipjd
258,171,51,3,ipjd
259,468,51,4,ipjd
260,179,52,0,ipjd
261,944,52,1,ipjd
262,655,52,2,ipjd
263,1141,52,3,ipjd
264,227,52,4,ipjd
265,1119,53,0,ipjd
266,262,53,1,ipjd
267,953,53,2,ipjd
268,1094,53,3,ipjd
269,457,53,4,ipjd
270,1135,54,0,ipjd
271,328,54,1,ipjd
272,948,54,2,ipjd
273,969,54,3,ipjd
274,179,54,4,ipjd
275,809,55,0,ipjd
276,102,55,1,ipjd
277,1045,55,2,ipjd
278,411,55,3,ipjd
279,61,55,4,ipjd
280,255,56,0,ipjd
281,827,56,1,ipjd
282,1051,56,2,ipjd
283,1174,56,3,ipjd
284,216,56,4,ipjd
285,804,57,0,ipjd
286,1000,57,1,ipjd
287,704,57,2,ipjd
288,80,57,3,ipjd
289,1158,57,4,ipjd
290,663,58,0,ipjd
291,381,58,1,ipjd
292,219,58,2,ipjd
293,45,58,3,ipjd
294,439,58,4,ipjd
295,893,59,0,ipjd
296,935,59,1,ipjd
297,7,59,2,ipjd
298,1193,59,3,ipjd
299,623,59,4,ipjd
300,974,60,0,ipjd
301,376,60,1,ipjd
302,1009,60,2,ipjd
303,951,60,3,ipjd
304,722,60,4,ipjd
305,391,61,0,ipjd
306,1105,61,1,ipjd
307,686,61,2,ipjd
308,195,61,3,ipjd
309,241,61,4,ipjd
310,366,62,0,ipjd
311,1165,62,1,ipjd
312,233,62,2,ipjd
313,943,62,3,ipjd
314,1144,62,4,ipjd
315,1033,63,0,ipjd
316,1005,63,1,ipjd
317,696,63,2,ipjd
318,476,63,3,ipjd
319,1157,63,4,ipjd
320,288,64,0,ipjd
321,14,64,1,ipjd
322,116,64,2,ipjd
323,190,64,3,ipjd
324,308,64,4,ipjd
325,637,65,0,ipjd
326,7,65,1,ipjd
327,589,65,2,ipjd
328,88,65,3,ipjd
329,202,65,4,ipjd
330,520,66,0,ipjd
331,396,66,1,ipjd
332,492,66,2,ipjd
333,243,66,3,ipjd
334,242,66,4,ipjd
335,397,67,0,ipjd
336,367,67,1,ipjd
337,179,67,2,ipjd
338,975,67,3,ipjd
339,1055,67,4,ipjd
340,749,68,0,ipjd
341,660,68,1,ipjd
342,1100,68,2,ipjd
343,791,68,3,ipjd
344,527,68,4,ipjd
345,177,69,0,ipjd
346,49,69,1,ipjd
347,70,69,2,ipjd
348,922,69,3,ipjd
349,1082,69,4,ipjd
350,969,70,0,ipjd
351,1037,70,1,ipjd
352,857,70,2,ipjd
353,607,70,3,ipjd
354,765,70,4,ipjd
355,149,71,0,ipjd
356,857,71,1,ipjd
357,418,71,2,ipjd
358,1184,71,3,ipjd
359,310,71,4,ipjd
360,219,72,0,ipjd
361,276,72,1,ipjd
362,437,72,2,ipjd
363,209,72,3,ipjd
364,915,72,4,ipjd
365,411,73,0,ipjd
366,293,73,1,ipjd
367,108,73,2,ipjd
368,1142,73,3,ipjd
369,773,73,4,ipjd
370,248,74,0,ipjd
371,360,74,1,ipjd
372,643,74,2,ipjd
373,1042,74,3,ipjd
374,1182,74,4,ipjd
375,498,75,0,ipjd
376,447,75,1,ipjd
377,834,75,2,ipjd
378,141,75,3,ipjd
379,901,75,4,ipjd
380,104,76,0,ipjd
381,32,76,1,ipjd
382,715,76,2,ipjd
383,429,76,3,ipjd
384,466,76,4,ipjd
385,1134,77,0,ipjd
386,313,77,1,ipjd
387,617,77,2,ipjd
388,247,77,3,ipjd
389,215,77,4,ipjd
390,278,78,0,ipjd
391,395,78,1,ipjd
392,529,78,2,ipjd
393,998,78,3,ipjd
394,662,78,4,ipjd
395,606,79,0,ipjd
396,1064,79,1,ipjd
397,419,79,2,ipjd
398,392,79,3,ipjd
399,340,79,4,ipjd
400,230,80,0,ipjd
401,8,80,1,ipjd
402,65,80,2,ipjd
403,926,80,3,ipjd
404,588,80,4,ipjd
405,1143,81,0,ipjd
406,589,81,1,ipjd
407,241,81,2,ipjd
408,1018,81,3,ipjd
409,1135,81,4,ipjd
410,783,82,0,ipjd
411,1056,82,1,ipjd
412,96,82,2,ipjd
413,266,82,3,ipjd
414,1166,82,4,ipjd
415,1095,83,0,ipjd
416,278,83,1,ipjd
417,72,83,2,ipjd
418,1214,83,3,ipjd
419,99,83,4,ipjd
420,562,84,0,ipjd
421,657,84,1,ipjd
422,737,84,2,ipjd
423,488,84,3,ipjd
424,1150,84,4,ipjd
425,675,85,0,ipjd
426,161,85,1,ipjd
427,667,85,2,ipjd
428,1065,85,3,ipjd
429,92,85,4,ipjd
430,520,86,0,ipjd
431,1029,86,1,ipjd
432,1100,86,2,ipjd
433,604,86,3,ipjd
434,844,86,4,ipjd
435,76,87,0,ipjd
436,602,87,1,ipjd
437,1162,87,2,ipjd
438,1018,87,3,ipjd
439,1034,87,4,ipjd
440,349,88,0,ipjd
441,480,88,1,ipjd
442,867,88,2,ipjd
443,873,88,3,ipjd
444,75,88,4,ipjd
445,205,89,0,ipjd
446,1022,89,1,ipjd
