bgFolder : //background/INRIA/
clothFolder : //textures/cloth/color/
comment : Use 2D joint annotation of LSP to manipulate human model
date : 10.15
name : LSP2D3D
outputFolder : /q/cache/lsp_2d_3d/render_output/
tasktype : LSP3Dtask
rowId,mode,LSPPoseId,clothId,backgroundId
0,ijd,1,3,670
1,ijd,2,2,467
2,ijd,3,4,127
3,ijd,4,4,551
4,ijd,5,1,591
5,ijd,6,4,452
6,ijd,7,2,773
7,ijd,8,2,902
8,ijd,9,0,21
9,ijd,10,3,1013
10,ijd,11,2,226
11,ijd,12,1,964
12,ijd,13,1,28
13,ijd,14,0,1099
14,ijd,15,1,929
15,ijd,16,3,802
16,ijd,17,0,751
17,ijd,18,0,35
18,ijd,19,0,1174
19,ijd,20,2,1
20,ijd,21,4,96
21,ijd,22,3,847
22,ijd,23,4,940
23,ijd,24,2,479
24,ijd,25,3,815
25,ijd,26,1,416
26,ijd,27,2,1171
27,ijd,28,3,303
28,ijd,29,3,1051
29,ijd,30,3,1086
30,ijd,31,1,1076
31,ijd,32,4,215
32,ijd,33,3,166
33,ijd,34,2,123
34,ijd,35,3,393
35,ijd,36,2,1153
36,ijd,37,0,85
37,ijd,38,0,1063
38,ijd,39,0,112
39,ijd,40,2,226
40,ijd,41,2,747
41,ijd,42,2,555
42,ijd,43,2,22
43,ijd,44,3,143
44,ijd,45,4,509
45,ijd,46,0,261
46,ijd,47,2,1189
47,ijd,48,0,206
48,ijd,49,3,723
49,ijd,50,0,398
50,ijd,51,4,286
51,ijd,52,1,1038
52,ijd,53,1,425
53,ijd,54,1,186
54,ijd,55,0,1119
55,ijd,56,3,949
56,ijd,57,4,1103
57,ijd,58,3,176
58,ijd,59,0,844
59,ijd,60,0,712
60,ijd,61,3,555
61,ijd,62,4,662
62,ijd,63,3,385
63,ijd,64,1,278
64,ijd,65,2,815
65,ijd,66,1,395
66,ijd,67,4,717
67,ijd,68,1,134
68,ijd,69,3,156
69,ijd,70,1,1127
70,ijd,71,4,1052
71,ijd,72,2,106
72,ijd,73,0,193
73,ijd,74,2,588
74,ijd,75,0,361
75,ijd,76,2,1004
76,ijd,77,3,681
77,ijd,78,2,220
78,ijd,79,4,608
79,ijd,80,1,862
80,ijd,81,4,399
81,ijd,82,0,393
82,ijd,83,2,77
83,ijd,84,2,483
84,ijd,85,4,215
85,ijd,86,2,272
86,ijd,87,2,142
87,ijd,88,1,304
88,ijd,89,3,426
89,ijd,90,4,829
90,ijd,91,0,412
91,ijd,92,2,574
92,ijd,93,1,493
93,ijd,94,4,979
