bgFolder : //background/INRIA/
clothFolder : //textures/cloth/color/
comment : This is the first batch task definition
date : 10.19
name : Human Parsing
outputFolder : /q/cache/human_parsing/
pantFolder : //textures/cloth/color/
tasktype : HumanParsingTask
rowId,mode,backgroundId,frameId,clothId,pantId
0,ipjd,553,0,4,4
1,ipjd,531,1,0,1
2,ipjd,1034,2,0,0
3,ipjd,872,3,3,4
4,ipjd,254,4,4,0
5,ipjd,1046,5,2,3
6,ipjd,693,6,1,1
7,ipjd,320,7,1,3
8,ipjd,491,8,1,2
9,ipjd,985,9,0,4
10,ipjd,471,10,1,4
11,ipjd,52,11,1,1
12,ipjd,608,12,1,2
13,ipjd,905,13,4,2
14,ipjd,120,14,2,3
15,ipjd,1101,15,3,2
16,ipjd,202,16,1,2
17,ipjd,1038,17,1,0
18,ipjd,378,18,4,4
19,ipjd,717,19,2,1
20,ipjd,544,20,0,4
21,ipjd,1184,21,0,3
22,ipjd,1153,22,1,3
23,ipjd,303,23,2,4
24,ipjd,50,24,2,2
25,ipjd,754,25,3,3
26,ipjd,622,26,3,4
27,ipjd,274,27,1,2
28,ipjd,68,28,0,1
29,ipjd,691,29,1,2
30,ipjd,31,30,4,3
31,ipjd,764,31,4,4
32,ipjd,953,32,4,2
33,ipjd,182,33,3,1
34,ipjd,68,34,2,3
35,ipjd,597,35,4,4
36,ipjd,522,36,3,0
37,ipjd,820,37,3,4
38,ipjd,174,38,4,2
39,ipjd,670,39,4,0
40,ipjd,913,40,3,2
41,ipjd,1174,41,0,2
42,ipjd,898,42,4,0
43,ipjd,131,43,3,2
44,ipjd,118,44,1,3
45,ipjd,59,45,3,1
46,ipjd,770,46,1,2
47,ipjd,1159,47,3,0
48,ipjd,584,48,4,0
49,ipjd,674,49,1,1
50,ipjd,580,50,3,2
51,ipjd,209,51,3,2
52,ipjd,314,52,1,0
53,ipjd,876,53,3,1
54,ipjd,587,54,3,3
55,ipjd,682,55,4,0
56,ipjd,282,56,3,2
57,ipjd,751,57,1,0
58,ipjd,895,58,1,0
59,ipjd,657,59,0,1
60,ipjd,319,60,3,2
61,ipjd,262,61,2,4
62,ipjd,341,62,3,1
63,ipjd,870,63,0,0
64,ipjd,167,64,2,1
65,ipjd,333,65,3,0
66,ipjd,1190,66,4,3
67,ipjd,43,67,3,0
68,ipjd,747,68,2,2
69,ipjd,288,69,3,2
70,ipjd,798,70,1,1
71,ipjd,650,71,0,1
72,ipjd,1158,72,2,3
73,ipjd,1005,73,2,4
74,ipjd,393,74,2,3
75,ipjd,1084,75,1,0
76,ipjd,1093,76,3,0
77,ipjd,1172,77,3,2
78,ipjd,560,78,4,1
79,ipjd,1067,79,0,3
80,ipjd,854,80,1,4
81,ipjd,12,81,0,1
82,ipjd,1026,82,4,3
83,ipjd,375,83,4,3
84,ipjd,661,84,1,4
85,ipjd,177,85,3,3
86,ipjd,188,86,3,4
87,ipjd,101,87,3,0
88,ipjd,218,88,4,3
89,ipjd,78,89,4,3
90,ipjd,179,90,4,4
91,ipjd,865,91,0,2
92,ipjd,729,92,0,0
93,ipjd,90,93,2,3
94,ipjd,604,94,4,2
95,ipjd,744,95,4,3
96,ipjd,158,96,2,3
97,ipjd,964,97,1,0
98,ipjd,1158,98,3,4
99,ipjd,6,99,4,2
100,ipjd,458,100,0,3
101,ipjd,538,101,2,4
102,ipjd,803,102,1,4
103,ipjd,190,103,2,4
104,ipjd,513,104,4,2
105,ipjd,1082,105,1,4
106,ipjd,413,106,2,0
107,ipjd,534,107,2,1
108,ipjd,1192,108,4,3
109,ipjd,316,109,2,1
110,ipjd,390,110,2,1
111,ipjd,849,111,2,4
112,ipjd,132,112,3,2
113,ipjd,1099,113,2,2
114,ipjd,1062,114,0,4
115,ipjd,433,115,2,0
116,ipjd,231,116,3,1
117,ipjd,384,117,3,1
118,ipjd,839,118,3,1
119,ipjd,92,119,0,0
120,ipjd,276,120,0,0
121,ipjd,1064,121,3,4
122,ipjd,186,122,0,4
123,ipjd,498,123,0,0
124,ipjd,484,124,3,2
125,ipjd,764,125,4,3
126,ipjd,574,126,3,1
127,ipjd,242,127,2,0
128,ipjd,1091,128,3,0
129,ipjd,252,129,3,1
130,ipjd,44,130,3,2
131,ipjd,862,131,4,3
132,ipjd,327,132,4,4
133,ipjd,1188,133,2,0
134,ipjd,305,134,4,0
135,ipjd,561,135,2,2
136,ipjd,718,136,4,4
137,ipjd,691,137,3,0
138,ipjd,18,138,1,0
139,ipjd,287,139,1,3
140,ipjd,695,140,2,1
141,ipjd,691,141,4,3
142,ipjd,1186,142,3,0
143,ipjd,666,143,1,4
144,ipjd,567,144,0,0
145,ipjd,37,145,3,1
146,ipjd,549,146,2,2
147,ipjd,912,147,3,0
148,ipjd,874,148,1,1
149,ipjd,956,149,0,3
150,ipjd,324,150,4,3
151,ipjd,541,151,2,0
152,ipjd,356,152,1,2
153,ipjd,365,153,1,0
154,ipjd,1079,154,0,3
155,ipjd,1044,155,2,2
156,ipjd,219,156,0,1
157,ipjd,297,157,1,1
158,ipjd,729,158,0,2
159,ipjd,531,159,0,4
160,ipjd,129,160,4,2
161,ipjd,750,161,2,3
162,ipjd,437,162,2,3
163,ipjd,955,163,3,0
164,ipjd,113,164,2,0
165,ipjd,719,165,2,1
166,ipjd,1096,166,2,2
167,ipjd,585,167,1,1
168,ipjd,1204,168,2,1
169,ipjd,1023,169,3,2
170,ipjd,1090,170,4,3
171,ipjd,317,171,1,4
172,ipjd,378,172,2,0
173,ipjd,192,173,1,4
174,ipjd,575,174,2,3
175,ipjd,807,175,4,0
176,ipjd,51,176,4,2
177,ipjd,788,177,4,0
178,ipjd,1047,178,1,0
179,ipjd,537,179,1,1
180,ipjd,903,180,4,4
181,ipjd,753,181,1,1
182,ipjd,118,182,0,2
183,ipjd,759,183,2,4
184,ipjd,844,184,2,0
185,ipjd,411,185,4,4
186,ipjd,1149,186,0,0
187,ipjd,568,187,4,3
188,ipjd,252,188,4,1
189,ipjd,1129,189,2,4
190,ipjd,394,190,4,3
191,ipjd,712,191,4,3
192,ipjd,842,192,3,2
193,ipjd,678,193,0,0
194,ipjd,203,194,1,1
195,ipjd,402,195,0,3
196,ipjd,646,196,4,0
197,ipjd,1194,197,3,2
198,ipjd,373,198,3,0
199,ipjd,1145,199,2,0
200,ipjd,209,200,0,1
201,ipjd,355,201,1,4
202,ipjd,623,202,4,0
203,ipjd,1196,203,4,3
204,ipjd,617,204,4,2
205,ipjd,389,205,2,3
206,ipjd,858,206,0,0
207,ipjd,1009,207,3,3
208,ipjd,894,208,4,1
209,ipjd,793,209,4,1
210,ipjd,346,210,2,3
211,ipjd,542,211,2,0
212,ipjd,436,212,4,4
213,ipjd,203,213,0,1
214,ipjd,1002,214,3,4
215,ipjd,1057,215,2,1
216,ipjd,1039,216,1,4
217,ipjd,728,217,3,4
218,ipjd,1000,218,1,4
219,ipjd,1207,219,2,1
220,ipjd,531,220,4,0
221,ipjd,723,221,1,0
222,ipjd,1052,222,4,4
223,ipjd,755,223,0,3
224,ipjd,957,224,0,0
225,ipjd,1175,225,0,3
226,ipjd,290,226,3,0
227,ipjd,574,227,1,1
228,ipjd,1188,228,1,0
229,ipjd,207,229,4,3
230,ipjd,1181,230,3,2
231,ipjd,166,231,0,4
232,ipjd,315,232,2,0
233,ipjd,1011,233,3,4
234,ipjd,49,234,0,4
235,ipjd,359,235,1,2
236,ipjd,49,236,0,3
237,ipjd,1161,237,0,0
238,ipjd,152,238,3,3
239,ipjd,130,239,2,2
240,ipjd,819,240,3,0
241,ipjd,62,241,1,4
242,ipjd,1184,242,4,1
243,ipjd,363,243,4,0
244,ipjd,504,244,0,2
245,ipjd,2,245,2,1
246,ipjd,594,246,4,4
247,ipjd,850,247,4,2
248,ipjd,1182,248,3,4
249,ipjd,543,249,1,0
250,ipjd,127,250,2,0
251,ipjd,5,251,4,2
252,ipjd,1191,252,3,3
253,ipjd,1002,253,4,4
254,ipjd,333,254,0,2
255,ipjd,375,255,3,0
256,ipjd,723,256,2,4
257,ipjd,392,257,2,0
258,ipjd,607,258,2,1
259,ipjd,701,259,0,1
260,ipjd,199,260,3,3
261,ipjd,1177,261,0,1
262,ipjd,1029,262,1,3
263,ipjd,311,263,4,2
264,ipjd,326,264,4,4
265,ipjd,886,265,1,3
266,ipjd,200,266,2,0
267,ipjd,859,267,2,1
268,ipjd,406,268,4,0
269,ipjd,1125,269,4,4
270,ipjd,677,270,0,0
271,ipjd,457,271,0,2
272,ipjd,544,272,2,3
273,ipjd,916,273,2,1
274,ipjd,61,274,1,1
275,ipjd,722,275,2,1
276,ipjd,866,276,1,2
277,ipjd,1,277,0,3
278,ipjd,217,278,0,0
279,ipjd,514,279,3,4
280,ipjd,67,280,0,0
281,ipjd,701,281,1,3
282,ipjd,790,282,4,4
283,ipjd,1108,283,4,4
284,ipjd,1170,284,0,4
285,ipjd,948,285,2,3
286,ipjd,494,286,2,0
287,ipjd,241,287,4,3
288,ipjd,401,288,3,2
289,ipjd,886,289,3,0
290,ipjd,581,290,4,2
291,ipjd,509,291,2,4
292,ipjd,439,292,4,0
293,ipjd,95,293,1,0
294,ipjd,102,294,4,1
295,ipjd,1135,295,1,1
296,ipjd,343,296,2,0
297,ipjd,87,297,3,0
