bgFolder : //background/INRIA/
clothFolder : //textures/cloth/upper/
comment : This is the first batch task definition
date : 10.20
name : Human Parsing
outputFolder : /q/cache/human_parsing/
pantsFolder : //textures/cloth/lower/
tasktype : HumanParsingTask
rowId,mode,backgroundId,frameId,clothId,pantId
0,ipjd,133,0,3,2
1,ipjd,353,1,0,0
2,ipjd,1119,2,4,2
3,ipjd,417,3,3,2
4,ipjd,1,4,3,0
5,ipjd,493,5,0,3
6,ipjd,63,6,1,3
7,ipjd,1136,7,1,3
8,ipjd,1047,8,4,3
9,ipjd,773,9,0,1
10,ipjd,529,10,4,2
11,ipjd,516,11,2,3
12,ipjd,571,12,1,1
13,ipjd,596,13,4,2
14,ipjd,1040,14,2,0
15,ipjd,420,15,1,3
16,ipjd,1035,16,4,0
17,ipjd,31,17,0,1
18,ipjd,46,18,0,3
19,ipjd,278,19,0,0
20,ipjd,859,20,1,3
21,ipjd,808,21,2,0
22,ipjd,607,22,1,0
23,ipjd,97,23,3,3
24,ipjd,418,24,2,1
25,ipjd,1168,25,2,3
26,ipjd,478,26,2,1
27,ipjd,713,27,1,2
28,ipjd,273,28,1,3
29,ipjd,780,29,3,0
30,ipjd,846,30,3,1
31,ipjd,207,31,3,1
32,ipjd,194,32,0,2
33,ipjd,513,33,3,3
34,ipjd,833,34,3,0
35,ipjd,10,35,4,3
36,ipjd,197,36,0,1
37,ipjd,1051,37,2,2
38,ipjd,24,38,0,0
39,ipjd,1194,39,4,3
40,ipjd,461,40,1,1
41,ipjd,385,41,4,1
42,ipjd,473,42,2,3
43,ipjd,698,43,3,1
44,ipjd,1047,44,2,0
45,ipjd,651,45,2,0
46,ipjd,1042,46,3,0
47,ipjd,958,47,4,3
48,ipjd,156,48,4,1
49,ipjd,418,49,4,0
50,ipjd,162,50,3,0
51,ipjd,33,51,0,1
52,ipjd,1122,52,4,3
53,ipjd,1119,53,2,2
54,ipjd,477,54,0,2
55,ipjd,386,55,1,3
56,ipjd,1092,56,3,3
57,ipjd,1140,57,1,2
58,ipjd,51,58,4,1
59,ipjd,190,59,0,2
60,ipjd,70,60,4,2
61,ipjd,595,61,1,1
62,ipjd,578,62,0,3
63,ipjd,227,63,2,2
64,ipjd,572,64,2,1
65,ipjd,747,65,0,1
66,ipjd,730,66,0,1
67,ipjd,473,67,2,1
68,ipjd,1115,68,1,0
69,ipjd,259,69,0,3
70,ipjd,852,70,4,2
71,ipjd,907,71,1,0
72,ipjd,241,72,1,2
73,ipjd,950,73,4,2
74,ipjd,66,74,0,2
75,ipjd,797,75,1,2
76,ipjd,131,76,0,1
77,ipjd,692,77,3,0
78,ipjd,484,78,3,0
79,ipjd,893,79,0,2
80,ipjd,662,80,2,2
81,ipjd,1019,81,4,3
82,ipjd,446,82,0,1
83,ipjd,355,83,0,1
84,ipjd,661,84,1,1
85,ipjd,597,85,4,2
86,ipjd,274,86,0,3
87,ipjd,441,87,2,1
88,ipjd,437,88,1,0
89,ipjd,1135,89,1,1
90,ipjd,578,90,1,2
91,ipjd,4,91,3,2
92,ipjd,157,92,1,0
93,ipjd,34,93,3,3
94,ipjd,759,94,4,0
95,ipjd,376,95,1,0
96,ipjd,433,96,1,1
97,ipjd,222,97,3,1
98,ipjd,29,98,0,3
99,ipjd,803,99,3,3
100,ipjd,555,100,1,0
101,ipjd,655,101,1,3
102,ipjd,670,102,4,2
103,ipjd,693,103,0,2
104,ipjd,993,104,0,2
105,ipjd,1100,105,2,1
106,ipjd,407,106,0,1
107,ipjd,778,107,2,1
108,ipjd,511,108,3,3
109,ipjd,1020,109,4,2
110,ipjd,1173,110,4,3
111,ipjd,1150,111,2,1
112,ipjd,888,112,0,0
113,ipjd,620,113,2,3
114,ipjd,538,114,0,1
115,ipjd,459,115,4,2
116,ipjd,756,116,4,2
117,ipjd,697,117,3,2
118,ipjd,583,118,4,2
119,ipjd,831,119,0,0
120,ipjd,1146,120,3,3
121,ipjd,869,121,3,1
122,ipjd,719,122,1,1
123,ipjd,931,123,1,2
124,ipjd,129,124,3,1
125,ipjd,218,125,4,2
126,ipjd,1215,126,3,3
127,ipjd,424,127,0,3
128,ipjd,81,128,3,1
129,ipjd,271,129,0,3
130,ipjd,1181,130,4,1
131,ipjd,1141,131,0,2
132,ipjd,631,132,2,3
133,ipjd,1059,133,2,1
134,ipjd,892,134,4,1
135,ipjd,261,135,1,2
136,ipjd,340,136,2,2
137,ipjd,776,137,2,0
138,ipjd,143,138,0,1
139,ipjd,600,139,4,0
140,ipjd,1147,140,4,1
141,ipjd,1112,141,4,2
142,ipjd,561,142,4,0
143,ipjd,920,143,0,2
144,ipjd,217,144,4,0
145,ipjd,89,145,3,0
146,ipjd,395,146,1,0
147,ipjd,728,147,1,2
148,ipjd,1203,148,1,1
149,ipjd,1025,149,1,3
150,ipjd,499,150,0,0
151,ipjd,707,151,0,1
152,ipjd,193,152,3,0
153,ipjd,937,153,0,2
154,ipjd,750,154,0,2
155,ipjd,77,155,0,0
156,ipjd,594,156,1,2
157,ipjd,358,157,2,1
158,ipjd,797,158,1,0
159,ipjd,743,159,2,2
160,ipjd,36,160,1,1
161,ipjd,29,161,3,2
162,ipjd,388,162,2,2
163,ipjd,692,163,1,0
164,ipjd,463,164,1,2
165,ipjd,349,165,1,1
166,ipjd,1209,166,2,3
167,ipjd,123,167,2,0
168,ipjd,389,168,2,3
169,ipjd,331,169,3,3
170,ipjd,626,170,0,3
171,ipjd,713,171,2,1
172,ipjd,342,172,3,3
173,ipjd,405,173,2,1
174,ipjd,218,174,2,3
175,ipjd,572,175,0,1
176,ipjd,130,176,1,3
177,ipjd,208,177,2,1
178,ipjd,71,178,2,0
179,ipjd,9,179,3,2
180,ipjd,124,180,4,1
181,ipjd,596,181,0,0
182,ipjd,14,182,0,0
183,ipjd,892,183,3,1
184,ipjd,1146,184,2,1
185,ipjd,82,185,0,1
186,ipjd,521,186,4,1
187,ipjd,647,187,4,3
188,ipjd,1204,188,3,3
189,ipjd,349,189,4,0
190,ipjd,362,190,1,3
191,ipjd,115,191,1,2
192,ipjd,546,192,3,0
193,ipjd,770,193,4,0
194,ipjd,390,194,4,2
195,ipjd,1210,195,3,3
196,ipjd,438,196,0,0
197,ipjd,1100,197,4,0
198,ipjd,620,198,4,1
199,ipjd,877,199,2,0
200,ipjd,505,200,3,3
201,ipjd,641,201,0,3
202,ipjd,354,202,1,3
203,ipjd,452,203,4,2
204,ipjd,1131,204,1,0
205,ipjd,602,205,0,1
206,ipjd,794,206,4,3
207,ipjd,323,207,2,3
208,ipjd,410,208,3,1
209,ipjd,268,209,4,2
210,ipjd,277,210,2,3
211,ipjd,510,211,4,0
212,ipjd,114,212,3,0
213,ipjd,718,213,0,3
214,ipjd,847,214,0,1
215,ipjd,391,215,1,2
216,ipjd,900,216,3,1
217,ipjd,377,217,3,1
218,ipjd,715,218,1,0
219,ipjd,617,219,0,0
220,ipjd,174,220,1,1
221,ipjd,1103,221,1,1
222,ipjd,396,222,0,2
223,ipjd,808,223,1,2
224,ipjd,575,224,1,0
225,ipjd,970,225,2,2
226,ipjd,80,226,0,1
227,ipjd,815,227,2,1
228,ipjd,23,228,2,1
229,ipjd,585,229,2,3
230,ipjd,521,230,2,0
231,ipjd,21,231,0,0
232,ipjd,213,232,4,3
233,ipjd,1207,233,3,0
234,ipjd,417,234,2,3
235,ipjd,1046,235,4,3
236,ipjd,539,236,1,1
237,ipjd,856,237,0,1
238,ipjd,654,238,0,1
239,ipjd,673,239,1,2
240,ipjd,674,240,4,0
241,ipjd,626,241,4,3
242,ipjd,1138,242,1,0
243,ipjd,713,243,0,3
244,ipjd,938,244,1,1
245,ipjd,830,245,3,1
246,ipjd,1141,246,3,3
247,ipjd,1157,247,0,0
248,ipjd,205,248,3,0
249,ipjd,112,249,1,2
250,ipjd,1002,250,4,3
251,ipjd,466,251,2,1
252,ipjd,1033,252,1,3
253,ipjd,871,253,0,2
254,ipjd,1034,254,0,1
255,ipjd,272,255,2,3
256,ipjd,824,256,4,3
257,ipjd,846,257,2,0
258,ipjd,266,258,1,2
259,ipjd,731,259,4,1
260,ipjd,518,260,1,1
261,ipjd,1092,261,2,1
262,ipjd,1041,262,0,2
263,ipjd,282,263,1,1
264,ipjd,366,264,1,2
265,ipjd,151,265,3,2
266,ipjd,693,266,4,1
267,ipjd,1172,267,2,0
268,ipjd,470,268,3,1
269,ipjd,1188,269,3,0
270,ipjd,847,270,1,1
271,ipjd,917,271,2,1
272,ipjd,38,272,3,2
273,ipjd,861,273,3,3
274,ipjd,497,274,1,3
275,ipjd,361,275,4,0
276,ipjd,626,276,2,0
277,ipjd,865,277,1,1
278,ipjd,394,278,1,1
279,ipjd,377,279,0,3
280,ipjd,594,280,1,2
281,ipjd,492,281,3,0
282,ipjd,134,282,4,1
283,ipjd,786,283,3,0
284,ipjd,465,284,0,2
285,ipjd,528,285,4,0
286,ipjd,296,286,0,1
287,ipjd,974,287,3,3
288,ipjd,238,288,2,0
289,ipjd,334,289,4,3
290,ipjd,861,290,3,3
291,ipjd,317,291,2,1
292,ipjd,1025,292,4,1
293,ipjd,9,293,3,1
294,ipjd,744,294,2,1
295,ipjd,998,295,2,2
296,ipjd,797,296,0,2
297,ipjd,170,297,0,0
298,ipjd,580,298,1,0
299,ipjd,1211,299,4,3
300,ipjd,5,300,2,3
301,ipjd,209,301,2,2
302,ipjd,82,302,4,0
303,ipjd,84,303,3,1
304,ipjd,1167,304,1,2
305,ipjd,777,305,4,2
306,ipjd,100,306,1,2
307,ipjd,358,307,3,0
308,ipjd,1081,308,1,3
309,ipjd,754,309,2,3
310,ipjd,385,310,2,3
311,ipjd,987,311,0,0
312,ipjd,202,312,0,2
313,ipjd,50,313,4,0
314,ipjd,1192,314,1,0
315,ipjd,807,315,3,2
316,ipjd,675,316,4,2
317,ipjd,420,317,2,1
318,ipjd,447,318,1,1
319,ipjd,992,319,1,1
320,ipjd,20,320,0,2
321,ipjd,171,321,0,1
322,ipjd,99,322,3,0
323,ipjd,1159,323,1,2
324,ipjd,76,324,3,3
325,ipjd,357,325,1,0
326,ipjd,337,326,2,0
327,ipjd,1094,327,0,3
328,ipjd,85,328,3,1
329,ipjd,895,329,2,2
330,ipjd,310,330,4,2
331,ipjd,855,331,4,2
332,ipjd,612,332,1,2
333,ipjd,218,333,1,3
334,ipjd,434,334,4,2
335,ipjd,1144,335,4,2
336,ipjd,848,336,3,3
337,ipjd,943,337,3,3
338,ipjd,793,338,0,3
339,ipjd,682,339,0,3
340,ipjd,388,340,3,3
341,ipjd,24,341,3,3
342,ipjd,346,342,3,2
343,ipjd,292,343,4,2
344,ipjd,1201,344,1,1
345,ipjd,1210,345,3,3
346,ipjd,215,346,0,3
347,ipjd,347,347,0,3
348,ipjd,208,348,0,2
349,ipjd,1012,349,1,0
350,ipjd,671,350,0,2
351,ipjd,471,351,3,1
352,ipjd,221,352,1,2
353,ipjd,879,353,4,0
354,ipjd,1051,354,2,0
355,ipjd,716,355,4,0
356,ipjd,1016,356,4,2
357,ipjd,386,357,1,1
358,ipjd,70,358,4,2
359,ipjd,1034,359,0,1
360,ipjd,147,360,4,1
361,ipjd,305,361,4,2
362,ipjd,981,362,0,3
363,ipjd,443,363,0,0
364,ipjd,87,364,0,3
365,ipjd,290,365,2,1
366,ipjd,132,366,1,1
367,ipjd,449,367,1,1
368,ipjd,161,368,4,3
369,ipjd,203,369,3,1
370,ipjd,954,370,3,2
371,ipjd,1032,371,4,2
372,ipjd,661,372,4,3
373,ipjd,647,373,1,1
374,ipjd,559,374,4,1
375,ipjd,602,375,4,0
376,ipjd,537,376,0,2
377,ipjd,396,377,4,1
378,ipjd,492,378,3,0
379,ipjd,577,379,0,3
380,ipjd,530,380,4,3
381,ipjd,556,381,3,3
382,ipjd,278,382,3,3
383,ipjd,1211,383,3,3
384,ipjd,363,384,2,3
385,ipjd,301,385,1,0
386,ipjd,353,386,2,2
387,ipjd,39,387,0,1
388,ipjd,87,388,1,0
389,ipjd,71,389,3,0
390,ipjd,915,390,3,2
391,ipjd,171,391,3,3
392,ipjd,974,392,1,2
393,ipjd,711,393,3,0
394,ipjd,167,394,3,0
395,ipjd,379,395,3,3
396,ipjd,602,396,4,0
397,ipjd,606,397,3,0
398,ipjd,981,398,3,3
399,ipjd,928,399,0,3
400,ipjd,161,400,1,3
401,ipjd,539,401,4,3
402,ipjd,1032,402,1,2
403,ipjd,851,403,4,0
404,ipjd,463,404,3,1
405,ipjd,835,405,2,3
406,ipjd,117,406,4,3
407,ipjd,187,407,1,2
408,ipjd,902,408,3,2
409,ipjd,922,409,4,3
410,ipjd,49,410,1,1
411,ipjd,861,411,4,0
412,ipjd,746,412,0,2
413,ipjd,60,413,1,1
414,ipjd,1060,414,3,3
415,ipjd,498,415,2,2
416,ipjd,1077,416,4,1
417,ipjd,386,417,3,1
418,ipjd,461,418,1,2
419,ipjd,41,419,0,0
420,ipjd,337,420,1,3
421,ipjd,406,421,4,3
422,ipjd,872,422,4,3
423,ipjd,682,423,3,2
424,ipjd,794,424,4,1
425,ipjd,820,425,4,2
426,ipjd,1173,426,1,1
427,ipjd,625,427,0,3
428,ipjd,718,428,1,0
429,ipjd,572,429,4,0
430,ipjd,110,430,3,1
431,ipjd,276,431,4,0
432,ipjd,1020,432,3,2
433,ipjd,1085,433,3,0
434,ipjd,706,434,2,0
435,ipjd,998,435,2,3
436,ipjd,729,436,4,1
437,ipjd,851,437,1,0
438,ipjd,1155,438,1,2
439,ipjd,104,439,4,1
440,ipjd,821,440,1,3
441,ipjd,272,441,3,2
442,ipjd,594,442,1,0
443,ipjd,1097,443,2,1
444,ipjd,481,444,0,2
445,ipjd,1171,445,0,1
446,ipjd,610,446,1,3
447,ipjd,907,447,3,1
448,ipjd,1002,448,2,2
449,ipjd,374,449,4,1
450,ipjd,399,450,3,2
451,ipjd,850,451,4,1
452,ipjd,295,452,0,3
453,ipjd,69,453,2,0
454,ipjd,778,454,0,0
455,ipjd,194,455,3,2
456,ipjd,744,456,4,1
457,ipjd,132,457,1,2
458,ipjd,862,458,1,0
459,ipjd,547,459,3,2
460,ipjd,637,460,3,1
461,ipjd,323,461,4,1
462,ipjd,733,462,4,1
463,ipjd,312,463,1,1
464,ipjd,876,464,2,2
465,ipjd,1000,465,1,1
466,ipjd,18,466,3,2
467,ipjd,333,467,1,0
468,ipjd,1179,468,3,1
469,ipjd,58,469,3,1
470,ipjd,197,470,1,1
471,ipjd,492,471,3,0
472,ipjd,449,472,2,2
473,ipjd,232,473,0,0
474,ipjd,662,474,3,0
475,ipjd,1114,475,4,0
476,ipjd,85,476,2,1
477,ipjd,70,477,1,3
478,ipjd,1058,478,0,2
479,ipjd,873,479,2,1
480,ipjd,766,480,3,3
481,ipjd,34,481,1,3
482,ipjd,629,482,2,1
483,ipjd,606,483,1,3
484,ipjd,635,484,4,1
485,ipjd,831,485,2,0
486,ipjd,940,486,2,1
487,ipjd,530,487,0,1
488,ipjd,83,488,3,1
489,ipjd,433,489,3,2
490,ipjd,436,490,4,2
491,ipjd,1194,491,2,3
492,ipjd,852,492,0,3
