rowId,backgroundId,frameId,clothId,mode
0,544,0,3,ipj
1,856,1,0,ipj
2,784,2,4,ipj
3,1087,3,5,ipj
4,960,4,1,ipj
5,1217,5,3,ipj
6,965,6,5,ipj
7,1039,7,5,ipj
8,862,8,5,ipj
9,1109,9,2,ipj
10,325,10,6,ipj
11,388,11,1,ipj
12,37,12,3,ipj
13,232,13,3,ipj
14,797,14,0,ipj
15,1173,15,5,ipj
16,1159,16,0,ipj
17,395,17,3,ipj
18,49,18,5,ipj
19,68,19,0,ipj
20,1010,20,2,ipj
21,1082,21,1,ipj
22,771,22,1,ipj
23,517,23,5,ipj
24,1093,24,0,ipj
25,524,25,5,ipj
26,1216,26,2,ipj
27,1151,27,0,ipj
28,596,28,3,ipj
29,798,29,5,ipj
30,275,30,2,ipj
31,739,31,0,ipj
32,832,32,2,ipj
33,1096,33,6,ipj
34,1206,34,3,ipj
35,774,35,1,ipj
36,571,36,3,ipj
37,874,37,4,ipj
38,428,38,0,ipj
39,1090,39,1,ipj
40,73,40,4,ipj
41,1157,41,1,ipj
42,993,42,1,ipj
43,947,43,5,ipj
44,349,44,4,ipj
45,557,45,5,ipj
46,55,46,3,ipj
47,319,47,4,ipj
48,257,48,1,ipj
49,989,49,0,ipj
50,269,50,1,ipj
51,246,51,5,ipj
52,663,52,5,ipj
53,150,53,0,ipj
54,177,54,2,ipj
55,39,55,5,ipj
56,579,56,6,ipj
57,592,57,2,ipj
58,535,58,6,ipj
59,266,59,1,ipj
60,537,60,4,ipj
61,573,61,4,ipj
62,784,62,0,ipj
63,111,63,1,ipj
64,295,64,2,ipj
65,878,65,1,ipj
66,699,66,0,ipj
67,662,67,1,ipj
68,621,68,0,ipj
69,77,69,4,ipj
70,1127,70,0,ipj
71,135,71,4,ipj
72,226,72,2,ipj
73,129,73,0,ipj
74,178,74,3,ipj
75,758,75,3,ipj
76,684,76,1,ipj
77,110,77,5,ipj
78,601,78,4,ipj
79,942,79,1,ipj
80,889,80,0,ipj
81,457,81,0,ipj
82,1033,82,0,ipj
83,1086,83,0,ipj
84,1081,84,6,ipj
85,940,85,0,ipj
86,532,86,3,ipj
87,131,87,0,ipj
88,1102,88,6,ipj
89,153,89,6,ipj
90,352,90,5,ipj
91,952,91,5,ipj
92,933,92,0,ipj
93,1023,93,5,ipj
94,1204,94,0,ipj
95,960,95,4,ipj
96,1096,96,4,ipj
97,317,97,5,ipj
98,893,98,1,ipj
99,482,99,1,ipj
100,839,100,5,ipj
101,247,101,1,ipj
102,1089,102,1,ipj
103,257,103,2,ipj
104,1076,104,1,ipj
105,215,105,4,ipj
106,777,106,2,ipj
107,1131,107,0,ipj
108,543,108,6,ipj
109,1032,109,3,ipj
110,1160,110,2,ipj
111,355,111,2,ipj
112,3,112,2,ipj
113,1061,113,0,ipj
114,540,114,1,ipj
115,225,115,1,ipj
116,521,116,6,ipj
117,577,117,1,ipj
118,785,118,1,ipj
119,174,119,2,ipj
120,1026,120,3,ipj
121,418,121,6,ipj
122,668,122,2,ipj
123,342,123,5,ipj
124,860,124,5,ipj
125,294,125,3,ipj
126,1040,126,1,ipj
127,1111,127,3,ipj
128,331,128,0,ipj
129,1135,129,5,ipj
130,440,130,1,ipj
131,20,131,3,ipj
132,839,132,5,ipj
133,350,133,1,ipj
134,957,134,1,ipj
135,668,135,2,ipj
136,223,136,4,ipj
137,199,137,6,ipj
138,171,138,5,ipj
139,833,139,6,ipj
140,909,140,2,ipj
141,1032,141,3,ipj
142,726,142,4,ipj
143,928,143,6,ipj
144,1117,144,1,ipj
145,538,145,3,ipj
146,35,146,5,ipj
147,563,147,5,ipj
148,737,148,3,ipj
149,617,149,5,ipj
150,827,150,5,ipj
151,818,151,5,ipj
152,150,152,6,ipj
153,450,153,4,ipj
154,903,154,5,ipj
155,19,155,5,ipj
156,340,156,2,ipj
157,791,157,0,ipj
158,936,158,2,ipj
159,53,159,6,ipj
160,1019,160,5,ipj
161,306,161,5,ipj
162,47,162,6,ipj
163,394,163,0,ipj
